,Tokens,Occurences
1192,depict,"[('T3.txt', 1)]"
1193,asia,"[('T1.txt', 1), ('T7.txt', 1)]"
1194,rang,"[('T1.txt', 2), ('T2.txt', 2), ('T3.txt', 1), ('T7.txt', 4), ('T9.txt', 3)]"
1195,locomot,"[('T1.txt', 3), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1196,loss,"[('T2.txt', 1), ('T5.txt', 1)]"
1197,unnecessari,"[('T1.txt', 1)]"
1198,deep,"[('T1.txt', 5), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 6)]"
1199,primit,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 1)]"
1200,hypohippu,"[('T7.txt', 1)]"
1201,inevit,"[('T6.txt', 3), ('T9.txt', 1)]"
1202,_trillions_,"[('T9.txt', 1)]"
1203,strata,"[('T1.txt', 1), ('T7.txt', 8)]"
1204,opossum,"[('T1.txt', 2)]"
1205,_carboniferous_,"[('T7.txt', 2)]"
1206,von,"[('T8.txt', 1)]"
1207,pelagica_,"[('T1.txt', 1)]"
1208,_rhodeu,"[('T1.txt', 1)]"
1209,encourag,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1210,modifi,"[('T1.txt', 1), ('T10.txt', 1)]"
1211,embed,"[('T9.txt', 1)]"
1212,receptacl,"[('T10.txt', 1)]"
1213,board,"[('T1.txt', 2), ('T6.txt', 1)]"
1214,maximum,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T10.txt', 1)]"
1215,_refracting_,"[('T5.txt', 1)]"
1216,justifi,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
1217,antiqu,"[('T6.txt', 1), ('T7.txt', 1)]"
1218,valu,"[('T7.txt', 1), ('T10.txt', 1)]"
1219,detect,"[('T1.txt', 4), ('T2.txt', 5), ('T3.txt', 1), ('T9.txt', 2), ('T10.txt', 4)]"
1220,enigmat,"[('T4.txt', 1)]"
1221,kant,"[('T6.txt', 1)]"
1222,satisfact,"[('T6.txt', 1)]"
1223,hold,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 3), ('T7.txt', 3), ('T9.txt', 2), ('T10.txt', 1)]"
1224,niagara,"[('T1.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
1225,transmit,"[('T9.txt', 4), ('T10.txt', 1)]"
1226,anyhow,"[('T7.txt', 1)]"
1227,list,"[('T1.txt', 1), ('T5.txt', 2), ('T7.txt', 1)]"
1228,let,"[('T1.txt', 1), ('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T8.txt', 2), ('T9.txt', 9), ('T10.txt', 2)]"
1229,days_,"[('T1.txt', 1)]"
1230,behind,"[('T1.txt', 3), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
1231,observ,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 2), ('T5.txt', 4), ('T6.txt', 2), ('T8.txt', 3), ('T9.txt', 2), ('T10.txt', 2)]"
1232,architectur,"[('T1.txt', 1), ('T7.txt', 1)]"
1233,fro,"[('T9.txt', 1)]"
1234,h,"[('T1.txt', 14), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 1), ('T10.txt', 3)]"
1235,_different_,"[('T6.txt', 1)]"
1236,incomplet,"[('T5.txt', 1), ('T10.txt', 1)]"
1237,tse,"[('T6.txt', 4), ('T7.txt', 2)]"
1238,triangular,"[('T2.txt', 1), ('T9.txt', 1)]"
1239,alfr,"[('T10.txt', 1)]"
1240,religiosa_,"[('T1.txt', 1)]"
1241,leap,"[('T1.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1242,structure_,"[('T9.txt', 1)]"
1243,times_,"[('T1.txt', 1), ('T7.txt', 2)]"
1244,mine,"[('T9.txt', 1)]"
1245,perpetu,"[('T9.txt', 2)]"
1246,permit,"[('T9.txt', 1), ('T10.txt', 3)]"
1247,indefinit,"[('T2.txt', 1), ('T4.txt', 1), ('T9.txt', 1)]"
1248,accumul,"[('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T9.txt', 1)]"
1249,_this_,"[('T6.txt', 1)]"
1250,instanc,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
1251,_doubl,"[('T7.txt', 1)]"
1252,genial,"[('T7.txt', 1)]"
1253,youngest,"[('T4.txt', 2)]"
1254,vividli,"[('T7.txt', 1)]"
1255,stimuli,"[('T6.txt', 2)]"
1256,_evolution_,"[('T7.txt', 2)]"
1257,muscular,"[('T6.txt', 1)]"
1258,devonian,"[('T7.txt', 7)]"
1259,abundantli,"[('T7.txt', 1)]"
1260,interglaci,"[('T7.txt', 1)]"
1261,war,"[('T1.txt', 4), ('T8.txt', 2), ('T9.txt', 1)]"
1262,glitter,"[('T1.txt', 1)]"
1263,amazingli,"[('T9.txt', 1)]"
1264,odour,"[('T7.txt', 1)]"
1265,equatori,"[('T2.txt', 1), ('T5.txt', 2)]"
1266,overtak,"[('T6.txt', 1)]"
1267,agit,"[('T9.txt', 5)]"
1268,thomson,"[('T1.txt', 7), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
1269,_with,"[('T6.txt', 1)]"
1270,mortar,"[('T1.txt', 1), ('T6.txt', 1)]"
1271,experienti,"[('T6.txt', 1)]"
1272,soar,"[('T1.txt', 1)]"
1273,besid,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 2)]"
1274,multifari,"[('T9.txt', 1)]"
1275,synonym,"[('T10.txt', 1)]"
1276,polystomella,"[('T1.txt', 1), ('T6.txt', 1)]"
1277,4a,"[('T7.txt', 1)]"
1278,glimps,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
1279,reflex,"[('T1.txt', 1), ('T6.txt', 12), ('T7.txt', 1), ('T8.txt', 1)]"
1280,27,"[('T4.txt', 1), ('T5.txt', 1)]"
1281,scandinavia,"[('T1.txt', 2)]"
1282,unduli,"[('T2.txt', 1)]"
1283,thorough,"[('T7.txt', 1)]"
1284,spectacular,"[('T5.txt', 1), ('T9.txt', 2)]"
1285,variabl,"[('T1.txt', 2), ('T5.txt', 4), ('T7.txt', 3)]"
1286,march,"[('T1.txt', 1), ('T4.txt', 1)]"
1287,hard,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 5), ('T8.txt', 2)]"
1288,gonad,"[('T6.txt', 1)]"
1289,_form,"[('T7.txt', 1)]"
1290,outstand,"[('T7.txt', 1)]"
1291,saw,"[('T3.txt', 1), ('T5.txt', 1), ('T8.txt', 1), ('T9.txt', 9)]"
1292,bayliss,"[('T1.txt', 1)]"
1293,hors,"[('T1.txt', 6), ('T7.txt', 14), ('T8.txt', 2), ('T10.txt', 1)]"
1294,marsupi,"[('T7.txt', 1)]"
1295,blood,"[('T1.txt', 1), ('T6.txt', 7), ('T7.txt', 9)]"
1296,knock,"[('T8.txt', 2), ('T9.txt', 1)]"
1297,happen,"[('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 3), ('T9.txt', 3), ('T10.txt', 1)]"
1298,evapor,"[('T6.txt', 1)]"
1299,crown,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 3), ('T10.txt', 1)]"
1300,thinnest,"[('T4.txt', 1)]"
1301,surpris,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
1302,mimicri,"[('T1.txt', 1)]"
1303,went,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1304,song,"[('T7.txt', 1), ('T8.txt', 2)]"
1305,implicit,"[('T6.txt', 2)]"
1306,contribut,"[('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 2)]"
1307,plume,"[('T6.txt', 1)]"
1308,28,"[('T1.txt', 1), ('T5.txt', 1)]"
1309,modernis,"[('T7.txt', 2)]"
1310,refract,"[('T1.txt', 1), ('T5.txt', 1)]"
1311,feebler,"[('T9.txt', 2)]"
1312,wade,"[('T6.txt', 1)]"
1313,foetal,"[('T7.txt', 2)]"
1314,dia,"[('T1.txt', 1)]"
1315,arthropod,"[('T7.txt', 2)]"
1316,copernicu,"[('T3.txt', 1)]"
1317,hammer,"[('T1.txt', 1), ('T8.txt', 1)]"
1318,leav,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 7)]"
1319,ash,"[('T6.txt', 1)]"
1320,soldier,"[('T1.txt', 1)]"
1321,follow,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 9), ('T8.txt', 1), ('T10.txt', 8)]"
1322,1,"[('T1.txt', 10), ('T2.txt', 1), ('T3.txt', 4), ('T4.txt', 1), ('T5.txt', 6), ('T6.txt', 10), ('T7.txt', 9), ('T9.txt', 6), ('T10.txt', 47)]"
1323,eloqu,"[('T7.txt', 4)]"
1324,water,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 6), ('T4.txt', 2), ('T6.txt', 21), ('T7.txt', 31), ('T8.txt', 9), ('T9.txt', 13), ('T10.txt', 14)]"
1325,volcan,"[('T3.txt', 2), ('T4.txt', 1)]"
1326,zeta,"[('T1.txt', 1), ('T4.txt', 1)]"
1327,1825,"[('T1.txt', 1), ('T7.txt', 1)]"
1328,1908,"[('T1.txt', 2), ('T4.txt', 2)]"
1329,prodigi,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1330,tremend,"[('T2.txt', 4), ('T5.txt', 1), ('T9.txt', 2)]"
1331,niger_,"[('T1.txt', 1)]"
1332,defin,"[('T2.txt', 1), ('T8.txt', 1)]"
1333,instantan,"[('T2.txt', 1), ('T6.txt', 1)]"
1334,companion,"[('T5.txt', 1)]"
1335,oligocen,"[('T7.txt', 2)]"
1336,potenti,"[('T6.txt', 2), ('T9.txt', 3)]"
1337,other,"[('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 8), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
1338,unmistak,"[('T2.txt', 1)]"
1339,2,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 15), ('T7.txt', 13), ('T10.txt', 4)]"
1340,italian,"[('T5.txt', 1)]"
1341,teat,"[('T7.txt', 1)]"
1342,2007,"[('T1.txt', 1)]"
1343,handl,"[('T5.txt', 1)]"
1344,manner,"[('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1345,cod,"[('T7.txt', 1)]"
1346,near,"[('T1.txt', 5), ('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 2)]"
1347,venatici,"[('T5.txt', 1)]"
1348,monoton,"[('T7.txt', 1)]"
1349,prevent,"[('T3.txt', 2), ('T6.txt', 1), ('T10.txt', 1)]"
1350,unalt,"[('T9.txt', 1)]"
1351,exquisit,"[('T5.txt', 1), ('T6.txt', 1)]"
1352,tassel,"[('T1.txt', 2), ('T9.txt', 5)]"
1353,histori,"[('T1.txt', 19), ('T5.txt', 1), ('T6.txt', 11), ('T7.txt', 11), ('T10.txt', 1)]"
1354,loaf,"[('T9.txt', 1)]"
1355,basalt,"[('T6.txt', 1)]"
1356,animal_,"[('T6.txt', 1)]"
1357,rose,"[('T1.txt', 1)]"
1358,scoop,"[('T1.txt', 1), ('T10.txt', 1)]"
1359,thrust,"[('T1.txt', 1)]"
1360,film,"[('T9.txt', 2)]"
1361,177,"[('T1.txt', 1)]"
1362,ut,"[('T10.txt', 1)]"
1363,occas,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1)]"
1364,sensori,"[('T6.txt', 6)]"
1365,huxley,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1)]"
1366,squid,"[('T1.txt', 1)]"
1367,endeavour,"[('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1)]"
1368,murray,"[('T1.txt', 1), ('T9.txt', 1)]"
1369,water_,"[('T10.txt', 1)]"
1370,spontan,"[('T6.txt', 2), ('T9.txt', 3)]"
1371,island,"[('T1.txt', 1)]"
1372,spinthariscop,"[('T9.txt', 1)]"
1373,argument,"[('T3.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
1374,request,"[('T10.txt', 1)]"
1375,spectrum,"[('T2.txt', 16), ('T4.txt', 1), ('T5.txt', 7)]"
1376,_curios,"[('T5.txt', 1)]"
1377,ape,"[('T1.txt', 5), ('T7.txt', 2)]"
1378,spini,"[('T7.txt', 1)]"
1379,judgment,"[('T8.txt', 1)]"
1380,cliff,"[('T6.txt', 1), ('T9.txt', 1)]"
1381,respons,"[('T6.txt', 2), ('T7.txt', 1)]"
1382,reflector,"[('T5.txt', 4)]"
1383,ago,"[('T1.txt', 4), ('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 7), ('T10.txt', 4)]"
1384,pictori,"[('T1.txt', 1), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1385,warm,"[('T7.txt', 2), ('T8.txt', 1), ('T10.txt', 1)]"
1386,predomin,"[('T7.txt', 1), ('T9.txt', 1)]"
1387,puppi,"[('T8.txt', 1)]"
1388,moorhen,"[('T8.txt', 6)]"
1389,colonis,"[('T7.txt', 6)]"
1390,kin,"[('T8.txt', 2)]"
1391,invalid,"[('T10.txt', 1)]"
1392,disregard,"[('T8.txt', 1)]"
1393,steadi,"[('T2.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1394,unravel,"[('T1.txt', 1)]"
1395,analysi,"[('T2.txt', 1), ('T5.txt', 1)]"
1396,visit,"[('T4.txt', 1), ('T6.txt', 1), ('T10.txt', 2)]"
1397,restor,"[('T1.txt', 5), ('T6.txt', 1), ('T7.txt', 1)]"
1398,proport,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 4), ('T10.txt', 1)]"
1399,seventeen,"[('T3.txt', 1), ('T9.txt', 1)]"
1400,experience_,"[('T8.txt', 1)]"
1401,meet,"[('T2.txt', 1), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
1402,frost,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
1403,mere,"[('T1.txt', 2), ('T2.txt', 3), ('T4.txt', 2), ('T5.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
1404,ear,"[('T1.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
1405,ganymed,"[('T3.txt', 1)]"
1406,laps,"[('T7.txt', 1), ('T9.txt', 1)]"
1407,slumber,"[('T9.txt', 1)]"
1408,cluster,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 4), ('T5.txt', 1), ('T10.txt', 1)]"
1409,primal,"[('T7.txt', 1)]"
1410,dust,"[('T1.txt', 2), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 1)]"
1411,awar,"[('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 1), ('T10.txt', 1)]"
1412,rigor,"[('T8.txt', 1)]"
1413,8859,"[('T1.txt', 1)]"
1414,recaptur,"[('T6.txt', 1)]"
1415,charit,"[('T10.txt', 1)]"
1416,wattl,"[('T6.txt', 1)]"
1417,postul,"[('T8.txt', 1)]"
1418,singl,"[('T5.txt', 2), ('T6.txt', 2), ('T9.txt', 1)]"
1419,velocity_,"[('T10.txt', 1)]"
1420,duffu,"[('T1.txt', 1)]"
1421,tramp,"[('T8.txt', 1)]"
1422,spider,"[('T1.txt', 3), ('T6.txt', 2), ('T7.txt', 1)]"
1423,realis,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T9.txt', 2)]"
1424,kapp,"[('T10.txt', 1)]"
1425,rate,"[('T1.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 6)]"
1426,health,"[('T1.txt', 1)]"
1427,per,"[('T1.txt', 1), ('T5.txt', 2), ('T6.txt', 1), ('T9.txt', 3)]"
1428,spong,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 2)]"
1429,impress,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
1430,parti,"[('T10.txt', 1)]"
1431,ak,"[('T10.txt', 1)]"
1432,web,"[('T7.txt', 3), ('T10.txt', 6)]"
1433,spectral,"[('T2.txt', 1)]"
1434,binari,"[('T10.txt', 1)]"
1435,microscopist,"[('T1.txt', 1)]"
1436,gamma,"[('T9.txt', 2)]"
1437,conquer,"[('T1.txt', 1), ('T7.txt', 4)]"
1438,dando,"[('T1.txt', 2)]"
1439,_sperm_,"[('T6.txt', 1)]"
1440,pr,"[('T7.txt', 1)]"
1441,inequilibrium,"[('T6.txt', 1)]"
1442,merit,"[('T10.txt', 1)]"
1443,system,"[('T1.txt', 24), ('T2.txt', 1), ('T3.txt', 3), ('T4.txt', 9), ('T5.txt', 8), ('T6.txt', 10), ('T7.txt', 7), ('T9.txt', 2), ('T10.txt', 4)]"
1444,fern,"[('T7.txt', 1)]"
1445,accret,"[('T2.txt', 1), ('T6.txt', 1)]"
1446,pigmi,"[('T7.txt', 1)]"
1447,baron,"[('T1.txt', 1), ('T7.txt', 1)]"
1448,horizon,"[('T9.txt', 1)]"
1449,ii,"[('T1.txt', 1), ('T6.txt', 2)]"
1450,us,"[('T1.txt', 18), ('T2.txt', 12), ('T3.txt', 4), ('T4.txt', 7), ('T5.txt', 9), ('T6.txt', 6), ('T7.txt', 7), ('T8.txt', 1), ('T9.txt', 29), ('T10.txt', 5)]"
1451,armadillo,"[('T7.txt', 1)]"
1452,wheat,"[('T1.txt', 1)]"
1453,paint,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 3)]"
1454,_square_,"[('T5.txt', 1)]"
1455,abyss,"[('T1.txt', 1), ('T7.txt', 3)]"
1456,anamnia,"[('T7.txt', 1)]"
1457,466,"[('T5.txt', 1)]"
1458,cooper,"[('T8.txt', 1)]"
1459,5a,"[('T7.txt', 1)]"
1460,herit,"[('T7.txt', 1)]"
1461,ought,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
1462,bri,"[('T7.txt', 1)]"
1463,rule,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
1464,juic,"[('T6.txt', 1)]"
1465,reserv,"[('T4.txt', 1)]"
1466,5,"[('T1.txt', 2), ('T2.txt', 4), ('T5.txt', 2), ('T6.txt', 6), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 6)]"
1467,metacarpu,"[('T7.txt', 1)]"
1468,without,"[('T1.txt', 3), ('T2.txt', 3), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 7), ('T7.txt', 9), ('T8.txt', 3), ('T9.txt', 4), ('T10.txt', 10)]"
1469,phenomena,"[('T1.txt', 5), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 4), ('T10.txt', 3)]"
1470,muscl,"[('T2.txt', 1), ('T6.txt', 5), ('T7.txt', 7), ('T8.txt', 1)]"
1471,91,"[('T1.txt', 3)]"
1472,nervou,"[('T6.txt', 2)]"
1473,lot,"[('T10.txt', 1)]"
1474,diverg,"[('T3.txt', 1), ('T6.txt', 1)]"
1475,told,"[('T1.txt', 3)]"
1476,no,"[('T3.txt', 2)]"
1477,buckl,"[('T6.txt', 1), ('T7.txt', 1)]"
1478,clever,"[('T6.txt', 1), ('T8.txt', 2)]"
1479,dissolut,"[('T1.txt', 1)]"
1480,flood,"[('T1.txt', 1), ('T4.txt', 1), ('T7.txt', 2), ('T9.txt', 2)]"
1481,graphit,"[('T7.txt', 1)]"
1482,wherebi,"[('T5.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
1483,width,"[('T5.txt', 1)]"
1484,produc,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 5), ('T6.txt', 8), ('T9.txt', 14), ('T10.txt', 12)]"
1485,laboratori,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 3), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
1486,runner,"[('T7.txt', 1)]"
1487,across,"[('T1.txt', 3), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 4), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
1488,_varanus_,"[('T1.txt', 1)]"
1489,immens,"[('T1.txt', 8), ('T2.txt', 2), ('T4.txt', 4), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
1490,step,"[('T1.txt', 2), ('T6.txt', 10), ('T7.txt', 5)]"
1491,introduc,"[('T1.txt', 1), ('T6.txt', 3), ('T9.txt', 2)]"
1492,forward,"[('T7.txt', 1), ('T10.txt', 1)]"
1493,acquisit,"[('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 1)]"
1494,spectroscopi,"[('T5.txt', 1)]"
1495,explod,"[('T6.txt', 2), ('T9.txt', 1)]"
1496,shepston,"[('T1.txt', 3), ('T5.txt', 2), ('T9.txt', 1)]"
1497,visitor,"[('T1.txt', 1), ('T7.txt', 5)]"
1498,knowledg,"[('T1.txt', 13), ('T2.txt', 3), ('T3.txt', 1), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 1)]"
1499,coma,"[('T5.txt', 2)]"
1500,dealt,"[('T6.txt', 3), ('T9.txt', 2), ('T10.txt', 1)]"
1501,beat,"[('T8.txt', 2)]"
1502,wrack,"[('T7.txt', 1)]"
1503,guard,"[('T8.txt', 1)]"
1504,_,"[('T1.txt', 5), ('T2.txt', 9), ('T4.txt', 7), ('T5.txt', 4), ('T6.txt', 16), ('T7.txt', 23), ('T8.txt', 2), ('T9.txt', 7), ('T10.txt', 6)]"
1505,favourit,"[('T6.txt', 1)]"
1506,work,"[('T1.txt', 6), ('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 5), ('T6.txt', 8), ('T7.txt', 8), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 81)]"
1507,rubbish,"[('T4.txt', 1)]"
1508,_petromyzon,"[('T1.txt', 1)]"
1509,holman,"[('T10.txt', 1)]"
1510,outbreak,"[('T5.txt', 1), ('T9.txt', 2)]"
1511,offic,"[('T6.txt', 1), ('T10.txt', 2)]"
1512,cradl,"[('T6.txt', 1), ('T7.txt', 6)]"
1513,infer,"[('T2.txt', 1), ('T7.txt', 4)]"
1514,coloss,"[('T1.txt', 1), ('T10.txt', 1)]"
1515,oliv,"[('T9.txt', 2), ('T10.txt', 1)]"
1516,fatal,"[('T6.txt', 3)]"
1517,inki,"[('T9.txt', 1)]"
1518,cellulos,"[('T6.txt', 4)]"
1519,shut,"[('T1.txt', 1), ('T6.txt', 2)]"
1520,humblest,"[('T7.txt', 1)]"
1521,great,"[('T1.txt', 22), ('T2.txt', 8), ('T3.txt', 7), ('T4.txt', 8), ('T5.txt', 18), ('T6.txt', 32), ('T7.txt', 36), ('T8.txt', 5), ('T9.txt', 14), ('T10.txt', 5)]"
1522,feebl,"[('T3.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
1523,nebular,"[('T1.txt', 3), ('T4.txt', 7), ('T6.txt', 3)]"
1524,cuttlefish,"[('T1.txt', 2), ('T7.txt', 3)]"
1525,bring,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 6), ('T8.txt', 2), ('T9.txt', 1)]"
1526,russel,"[('T1.txt', 1), ('T4.txt', 1)]"
1527,prognost,"[('T9.txt', 1)]"
1528,anchor,"[('T7.txt', 1)]"
1529,14,"[('T1.txt', 2), ('T3.txt', 2), ('T10.txt', 1)]"
1530,discover,"[('T7.txt', 1), ('T9.txt', 1)]"
1531,britain,"[('T6.txt', 1), ('T7.txt', 1)]"
1532,f,"[('T1.txt', 16), ('T6.txt', 7), ('T7.txt', 5), ('T8.txt', 1), ('T10.txt', 10)]"
1533,damp,"[('T8.txt', 1)]"
1534,quit,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 2), ('T6.txt', 3), ('T7.txt', 7), ('T8.txt', 5), ('T9.txt', 1), ('T10.txt', 1)]"
1535,readi,"[('T4.txt', 1), ('T6.txt', 4), ('T8.txt', 2)]"
1536,kea,"[('T8.txt', 1)]"
1537,field,"[('T1.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T9.txt', 12), ('T10.txt', 1)]"
1538,_stori,"[('T7.txt', 1)]"
1539,biscuit,"[('T8.txt', 1)]"
1540,undeni,"[('T7.txt', 2)]"
1541,code,"[('T3.txt', 1), ('T10.txt', 1)]"
1542,1769,"[('T1.txt', 1), ('T7.txt', 1)]"
1543,estim,"[('T1.txt', 2), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 3), ('T9.txt', 4)]"
1544,habitat,"[('T6.txt', 1), ('T7.txt', 2)]"
1545,pistil,"[('T6.txt', 1)]"
1546,hatch,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 2)]"
1547,jerk,"[('T6.txt', 1)]"
1548,_euplectella_,"[('T1.txt', 1)]"
1549,infinit,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1550,margin,"[('T6.txt', 2)]"
1551,transport,"[('T1.txt', 1)]"
1552,silveri,"[('T1.txt', 2)]"
1553,preserv,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1554,volumin,"[('T6.txt', 1)]"
1555,circular,"[('T1.txt', 1), ('T3.txt', 1), ('T9.txt', 1)]"
1556,made,"[('T1.txt', 5), ('T2.txt', 6), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 10), ('T7.txt', 9), ('T8.txt', 7), ('T9.txt', 12), ('T10.txt', 2)]"
1557,pollen,"[('T6.txt', 2), ('T7.txt', 4)]"
1558,stickleback,"[('T1.txt', 2)]"
1559,sy,"[('T6.txt', 2)]"
1560,disintegr,"[('T1.txt', 1), ('T2.txt', 3), ('T6.txt', 1), ('T9.txt', 7)]"
1561,_learn_,"[('T8.txt', 1)]"
1562,post,"[('T1.txt', 1), ('T10.txt', 5)]"
1563,bragg,"[('T1.txt', 1), ('T9.txt', 1)]"
1564,amoeboid,"[('T6.txt', 3), ('T7.txt', 1)]"
1565,raft,"[('T8.txt', 1)]"
1566,risk,"[('T7.txt', 8)]"
1567,wear,"[('T6.txt', 1)]"
1568,word,"[('T1.txt', 1), ('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 7), ('T7.txt', 6), ('T9.txt', 4), ('T10.txt', 2)]"
